Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
I33VE7F9,journalArticle,1988,"Hobbs, Elizabeth R.",Species richness of urban forest patches and implications for urban landscape diversity,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/BF00162740,http://link.springer.com/10.1007/BF00162740,,1988-05,02-05-2023 20:04,11-05-2023 18:46,02-05-2023 20:04,141-152,,3,1,,Landscape Ecol.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Hobbs_1988_Landscape Ecol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8YXRHHEG,journalArticle,2010,"Delaney, Kathleen Semple; Riley, Seth P. D.; Fisher, Robert N.","A Rapid, Strong, and Convergent Genetic Response to Urban Habitat Fragmentation in Four Divergent and Widespread Vertebrates",PLoS ONE,,1932-6203,10.1371/journal.pone.0012767,https://dx.plos.org/10.1371/journal.pone.0012767,,16-09-2010,02-05-2023 20:04,10-05-2023 16:35,02-05-2023 20:04,e12767,,9,5,,PLOS One,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Delaney_etal_2010_PLOS One.pdf,,YES,,"Fleischer, Robert C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEXWLN7T,journalArticle,2006,"Chen, Shuihua; Ding, Ping; Zheng, Guangmei; Wang, Yujun",Bird community patterns in response to the island features of urban woodlots in eastern China,Frontiers of Biology in China,,"1673-3509, 1673-3622",10.1007/s11515-006-0061-4,http://link.springer.com/10.1007/s11515-006-0061-4,,2006-12,02-05-2023 20:04,11-05-2023 18:57,02-05-2023 20:04,448-454,,4,1,,Front. Biol. China,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Chen_etal_2006_Front. Biol. China.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXIHTZLE,journalArticle,1998,"Miyashita, Tadashi; Shinkai, Akira; Chida, Takafumi",The effects of forest fragmentation on web spider communities in urban areas,Biological Conservation,,63207,10.1016/S0006-3207(98)00025-1,https://linkinghub.elsevier.com/retrieve/pii/S0006320798000251,,1998-12,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,357-364,,3,86,,Biol. Conserv.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Miyashita_etal_1998_Biol. Conserv..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K4IEWJ3T,journalArticle,2004,"Takami, Yasuoki; Koshio, Chiharu; Ishii, Minoru; Fujii, Hisashi; Hidaka, Toshitaka; Shimizu, Isamu",Genetic diversity and structure of urban populations of Pieris butterflies assessed using amplified fragment length polymorphism: POPULATION GENETICS OF URBAN BUTTERFLIES,Molecular Ecology,,"09621083, 1365294X",10.1046/j.1365-294X.2003.02040.x,http://doi.wiley.com/10.1046/j.1365-294X.2003.02040.x,,28-01-2004,02-05-2023 20:04,10-05-2023 16:39,02-05-2023 20:04,245-258,,2,13,,Mol. Ecol.,Genetic diversity and structure of urban populations of Pieris butterflies assessed using amplified fragment length polymorphism,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Takami_etal_2004_Mol. Ecol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPW4NBHQ,journalArticle,2017,"Fischer, Claude; Ranzoni, Jessica",Evaluation de la fonctionnalité des corridors de déplacement du cerf dans le bassin genevois,Schweizerische Zeitschrift fur Forstwesen,,"2235-1469, 0036-7818",10.3188/szf.2017.0299,http://meridian.allenpress.com/szf/article/168/6/299/128660/Evaluation-de-la-fonctionnalit%C3%A9-des-corridors-de,"Assessment of the functionality of wildlife corridors used by red deer in the Geneva basin             The red deer population located west of the Jura Mountains is expanding its range. For the past fifteen years this expansion has also affected the lowlands of the Geneva basin. When entering the Plateau area, the red deer face a landscape highly fragmented by urbanisation. In addition their natural habitats are broken up and are often reduced to small patches. In this context it is hard to imagine how a red deer population manages to find all the resources required for survival, and how the animals manage to connect the scattered habitats in their area. A study was initiated in 2009 in order to assess this population's use of the space available. Sixteen individuals were fitted with GPS collars in order to monitor their movements. The results show that these individuals manage to connect a set of habitats, forests and agricultural areas, thanks to the presence of transit corridors, the whole system forming a network superposed on the urban network. It was however observed that the functionality of these corridors is often threatened and that their size has been reduced in the last decade. However, even though the landscape matrix is dominated by agricultural environments and is strongly fragmented, the animals are, at present, able to find enough resources by moving between habitat patches using the network which remains. The area thus used to satisfy their essential needs is surprisingly small.",01-11-2017,02-05-2023 20:04,10-05-2023 16:36,02-05-2023 20:04,299-304,,6,168,,Schweiz. Z. fur Forstwes.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Fischer_Ranzoni_2017_Schweiz. Z. fur Forstwes..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB8LPTEK,journalArticle,2022,"Schmidt, Chloé; Garroway, Colin J.",Systemic racism alters wildlife genetic diversity,Proceedings of the National Academy of Sciences,,"0027-8424, 1091-6490",10.1073/pnas.2102860119,https://pnas.org/doi/10.1073/pnas.2102860119,"In the United States, systemic racism has had lasting effects on the structure of cities, specifically due to government-mandated redlining policies that produced racially segregated neighborhoods that persist today. However, it is not known whether varying habitat structures and natural resource availability associated with racial segregation affect the demographics and evolution of urban wildlife populations. To address this question, we repurposed and reanalyzed publicly archived nuclear genetic data from 7,698 individuals spanning 39 terrestrial vertebrate species sampled in 268 urban locations throughout the United States. We found generally consistent patterns of reduced genetic diversity and decreased connectivity in neighborhoods with fewer White residents, likely because of environmental differences across these neighborhoods. The strength of relationships between the racial composition of neighborhoods, genetic diversity, and differentiation tended to be weak relative to other factors affecting genetic diversity, possibly in part due to the recency of environmental pressures on urban wildlife populations. However, the consistency of the direction of effects across disparate taxa suggest that systemic racism alters the demography of urban wildlife populations in ways that generally limit population sizes and negatively affect their chances of persistence. Our results thus support the idea that limited capacity to support large, well-connected wildlife populations reduces access to nature and builds on existing environmental inequities shouldered by predominantly non-White neighborhoods.",25-10-2022,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,e2102860119,,43,119,,Proc. Natl. Acad. Sci.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Schmidt_Garroway_2022_Proc. Natl. Acad. Sci..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYRCC7XH,journalArticle,2021,"Li, Dehuan; Sun, Wei; Xia, Fan; Yang, Yixuan; Xie, Yujing",Can Habitat Quality Index Measured Using the InVEST Model Explain Variations in Bird Diversity in an Urban Area?,Sustainability,,2071-1050,10.3390/su13105747,https://www.mdpi.com/2071-1050/13/10/5747,"Biodiversity maintenance is a crucial ecosystem service. Due to time limits and data availability, assessing biodiversity using indicators or models has become a hot topic in recent decades. However, whether some proposed indicators can explain biodiversity well at the local scale is still unclear. This study attempted to test whether the habitat quality index (HQI) as measured using the integrated valuation of ecosystem services and trade-offs (InVEST) model could explain variations in bird diversity in New Jiangwan Town, a rapidly urbanized region of Shanghai, China. The relationships from 2002 to 2013 among HQI and the two diversity indices, species richness and species abundance, were analyzed using Fisher’s exact test and gray correlation analysis. No significant association was found. Habitat connectivity was then integrated to develop a new combined indicator of habitat quality and connectivity index (HQCI). The associations between HQCI and the two diversity indices were improved significantly. The results indicated that connectivity may be an important factor explaining the diversity of certain species at a local scale. More empirical studies should be conducted to provide scientific evidence relating habitat quality to biodiversity.",20-05-2021,02-05-2023 20:04,08-05-2023 15:18,02-05-2023 20:04,5747,,10,13,,Sustainability,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Li_etal_2021_Sustainability.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XD83YR5H,journalArticle,2016,"De Groot, G. A.; Hofmeester, T. R.; La Haye, M.; Jansman, H. A. H.; Perez-Haro, M.; Koelewijn, H. P.",Hidden dispersal in an urban world: genetic analysis reveals occasional long-distance dispersal and limited spatial substructure among Dutch pine martens,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-015-0765-6,http://link.springer.com/10.1007/s10592-015-0765-6,,2016-02,02-05-2023 20:04,10-05-2023 16:35,02-05-2023 20:04,111-123,,1,17,,Conserv. Genet.,Hidden dispersal in an urban world,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\De Groot_etal_2016_Conserv. Genet..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72A78GRH,journalArticle,2011,"Oliver, Amanda J.; Hong-Wa, Cynthia; Devonshire, Jodi; Olea, Kelly R.; Rivas, Gonzalo F.; Gahl, Megan K.","Avifauna richness enhanced in large, isolated urban parks",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2011.04.007,https://linkinghub.elsevier.com/retrieve/pii/S016920461100185X,"Urbanization causes fragmentation creating “islands” of natural habitat. The resulting fragmented landscapes represent a challenge for migratory and resident species because of decreased connectivity among fragments. We examined the effects of urbanization on avifauna communities in remnant and restored parks in the greater St. Louis area (St. Louis), Missouri and Illinois, USA. St. Louis is located along the Mississippi flyway, a significant North American migratory bird route, and ranks second among the most sprawl-threatened large cities. We compiled bird assemblages for 20 parks and used multiple linear regressions and Akaike's Information Criterion (AIC) to analyze seven potential predictors of species richness for breeding, migratory and wintering species: area, habitat diversity, external development within 1 km and 5 km buffers, internal developed areas, road length, and presence of water bodies. The best predictors of resident bird (i.e., breeding and wintering) species richness was park area and external developed area within 5 km, a surrogate for isolation. We suspect that the high species richness in parks in heavily urbanized areas is explained by the parks’ relatively large size and the funneling of species to two large parks within the most urbanized areas of St. Louis. For migratory species, the best predictors were habitat diversity and developed area within the park. As development continues to transform natural habitat along important avian migratory flyways, urban planning that includes large, diverse natural areas within urbanized landscapes is key to conserving local and migratory avifauna diversity.",2011-09,28-03-2023 18:07,11-05-2023 22:13,02-05-2023 20:04,215-225,,4,102,,Landscape and Urban Planning,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Oliver_etal_2011_Landscape and Urban Planning.pdf,,YES,BENCHMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG4HH36A,journalArticle,2020,"Parker, Denisha M.; Turo, Katherine J.; Delgado De La Flor, Yvan A.; Gardiner, Mary M.",Landscape Context Influences the Abundance and Richness of Native Lady Beetles Occupying Urban Vacant Land,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-020-01000-7,https://link.springer.com/10.1007/s11252-020-01000-7,,2020-12,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,1299-1310,,6,23,,Urban Ecosyst.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Parker_etal_2020_Urban Ecosyst..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG3HT6K4,journalArticle,2010,"Wang, Hongfang; Sork, Victoria L.; Wu, Jianguo; Ge, Jianping",Effect of patch size and isolation on mating patterns and seed production in an urban population of Chinese pine (Pinus tabulaeformis Carr.),Forest Ecology and Management,,3781127,10.1016/j.foreco.2010.06.014,https://linkinghub.elsevier.com/retrieve/pii/S0378112710003373,,2010-08,02-05-2023 20:05,10-05-2023 16:39,02-05-2023 20:04,965-974,,6,260,,Forest Ecol. Manag.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Wang_etal_2010_Forest Ecol. Manag..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAYUYQQ,journalArticle,1999,"Lehtinen, Richard M.; Galatowitsch, Susan M.; Tester, John R.",Consequences of habitat loss and fragmentation for wetland amphibian assemblages,Wetlands,,"0277-5212, 1943-6246",10.1007/BF03161728,https://link.springer.com/10.1007/BF03161728,,1999-03,02-05-2023 20:05,08-05-2023 15:18,02-05-2023 20:04,01-Dec,,1,19,,Wetlands,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Lehtinen_etal_1999_Wetlands.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTUZ5FXZ,journalArticle,2020,"Perry, Kayla I.; Hoekstra, Nicole C.; Delgado De La Flor, Yvan A.; Gardiner, Mary M.",Disentangling landscape and local drivers of ground‐dwelling beetle community assembly in an urban ecosystem,Ecological Applications,,"1051-0761, 1939-5582",10.1002/eap.2191,https://onlinelibrary.wiley.com/doi/10.1002/eap.2191,,2020-12,02-05-2023 20:05,10-05-2023 16:38,02-05-2023 20:04,,,8,30,,Ecol. Appl.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Perry_etal_2020_Ecol. Appl..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZQ4TP2,journalArticle,2014,"Bonthoux, Sébastien; Brun, Marion; Di Pietro, Francesca; Greulich, Sabine; Bouché-Pillon, Sabine",How can wastelands promote biodiversity in cities? A review,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2014.08.010,https://linkinghub.elsevier.com/retrieve/pii/S0169204614001960,,2014-12,02-05-2023 20:05,10-05-2023 16:35,02-05-2023 20:04,79-88,,,132,,Landscape Urban Plan.,How can wastelands promote biodiversity in cities?,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Bonthoux_etal_2014_Landscape Urban Plan..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W6RNBQ8I,journalArticle,2004,"Moffatt, S.F.; McLachlan, S.M.; Kenkel, N.C.",Impacts of land use on riparian forest along an urban – rural gradient in southern Manitoba,Plant Ecology formerly `Vegetatio',,1385-0237,10.1023/B:VEGE.0000046055.27285.fd,http://link.springer.com/10.1023/B:VEGE.0000046055.27285.fd,,2004,02-05-2023 20:05,10-05-2023 16:38,02-05-2023 20:04,119-135,,1,174,,Plant Ecol. former. `Vegetatio',,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Moffatt_etal_2004_Plant Ecol. former. `Vegetatio'.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8NWQ9NY,journalArticle,2018,"Ke, Yuanyuan; Yu, Yan; Tong, Yan",Selection of important ecological source patches base on Green Infrastructure theory: A case study of Wuhan city,IOP Conference Series: Earth and Environmental Science,,"1755-1307, 1755-1315",10.1088/1755-1315/108/4/042078,https://iopscience.iop.org/article/10.1088/1755-1315/108/4/042078,,2018-01,02-05-2023 20:05,08-05-2023 15:18,02-05-2023 20:04,42078,,,108,,IOP Conf. Ser.: Earth Environ. Sci.,Selection of important ecological source patches base on Green Infrastructure theory,,,,,,,,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Ke_etal_2018_IOP Conf. Ser. Earth Environ. Sci..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFBQ9HST,journalArticle,2013,"Fischer, Leonie K.; Von Der Lippe, Moritz; Kowarik, Ingo",Urban land use types contribute to grassland conservation: The example of Berlin,Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2013.03.009,https://linkinghub.elsevier.com/retrieve/pii/S1618866713000356,,2013-01,02-05-2023 20:05,10-05-2023 16:36,02-05-2023 20:04,263-272,,3,12,,Urban For. Urban Gree.,Urban land use types contribute to grassland conservation,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Fischer_etal_2013_Urban For. Urban Gree..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4LB7WZJS,journalArticle,2019,"Carter, Nicholas; Cooke, Raylene; White, John G.; Whisson, Desley A.; Isaac, Bronwyn; Bradsworth, Nick",Joining the dots: How does an apex predator move through an urbanizing landscape?,Global Ecology and Conservation,,23519894,10.1016/j.gecco.2019.e00532,https://linkinghub.elsevier.com/retrieve/pii/S2351989419300113,,2019-01,02-05-2023 20:05,10-05-2023 16:35,02-05-2023 20:04,e00532,,,17,,Global Ecol. Conserv.,Joining the dots,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Carter_etal_2019_Global Ecol. Conserv..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZU9ZU36A,journalArticle,2017,"Braaker, Sonja; Obrist, Martin Karl; Ghazoul, Jaboury; Moretti, Marco",Habitat connectivity and local conditions shape taxonomic and functional diversity of arthropods on green roofs,Journal of Animal Ecology,,"0021-8790, 1365-2656",10.1111/1365-2656.12648,https://onlinelibrary.wiley.com/doi/10.1111/1365-2656.12648,,2017-05,02-05-2023 20:05,10-05-2023 16:35,02-05-2023 20:04,521-531,,3,86,,J. Anim. Ecol.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Braaker_etal_2017_J. Anim. Ecol..pdf,,YES,,"Cuddington, Kim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4ZGM43L,journalArticle,2016,"Larroque, Jeremy; Ruette, Sandrine; Vandel, Jean-Michel; Queney, Guillaume; Devillard, Sébastien",Age and sex-dependent effects of landscape cover and trapping on the spatial genetic structure of the stone marten (Martes foina),Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-016-0862-1,http://link.springer.com/10.1007/s10592-016-0862-1,,2016-12,02-05-2023 20:05,10-05-2023 16:37,02-05-2023 20:04,1293-1306,,6,17,,Conserv. Genet.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Larroque_etal_2016_Conserv. Genet..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ZEFXC3A,journalArticle,2018,"Sterzyńska, Maria; Nicia, Paweł; Zadrożny, Paweł; Fiera, Cristina; Shrubovych, Julia; Ulrich, Werner",Urban springtail species richness decreases with increasing air pollution,Ecological Indicators,,1470160X,10.1016/j.ecolind.2018.06.063,https://linkinghub.elsevier.com/retrieve/pii/S1470160X18305107,,2018-11,02-05-2023 20:05,10-05-2023 16:39,02-05-2023 20:04,328-335,,,94,,Ecol. Indic.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Sterzynska_etal_2018_Ecol. Indic..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQMGY2SY,journalArticle,2016,"Tannier, Cécile; Bourgeois, Marc; Houot, Hélène; Foltête, Jean-Christophe",Impact of urban developments on the functional connectivity of forested habitats: a joint contribution of advanced urban models and landscape graphs,Land Use Policy,,2648377,10.1016/j.landusepol.2015.12.002,https://linkinghub.elsevier.com/retrieve/pii/S0264837715003932,,2016-03,02-05-2023 20:05,08-05-2023 15:18,02-05-2023 20:04,76-91,,,52,,Land Use Policy,Impact of urban developments on the functional connectivity of forested habitats,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Tannier_etal_2016_Land Use Policy.pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDLYZ766,journalArticle,2023,"Hansford, Kayleigh M; Gillingham, Emma L; Vaux, Alexander G C; Cull, Benjamin; McGinley, Liz; Catton, Matthew; Wheeler, Benedict W; Tschirren, Barbara; Medlock, Jolyon M","Impact of green space connectivity on urban tick presence, density and Borrelia infected ticks in different habitats and seasons in three cities in southern England",Ticks and Tick-borne Diseases,,1877959X,10.1016/j.ttbdis.2022.102103,https://linkinghub.elsevier.com/retrieve/pii/S1877959X22002059,,2023-03,02-05-2023 20:05,10-05-2023 16:36,02-05-2023 20:04,102103,,2,14,,Ticks Tick-borne Dis.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Hansford_etal_2023_Ticks Tick-borne Dis..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBT98IG6,journalArticle,2013,"Vergnes, Alan; Kerbiriou, Christian; Clergeau, Philippe",Ecological corridors also operate in an urban matrix: A test case with garden shrews,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-013-0289-0,http://link.springer.com/10.1007/s11252-013-0289-0,,2013-09,02-05-2023 20:05,10-05-2023 16:39,02-05-2023 20:04,511-525,,3,16,,Urban Ecosyst.,Ecological corridors also operate in an urban matrix,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Vergnes_etal_2013_Urban Ecosyst..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYWE9NXW,journalArticle,2022,"Liao, Wenfei; Venn, Stephen; Niemelä, Jari",Diving beetle (Coleoptera: Dytiscidae) community dissimilarity reveals how low landscape connectivity restricts the ecological value of urban ponds,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-022-01413-z,https://link.springer.com/10.1007/s10980-022-01413-z,"Abstract                            Context               Structural and functional connectivity, as subconcepts of landscape connectivity, are key factors in biodiversity conservation and management. Previous studies have focused on the consequences of connectivity for populations of terrestrial organisms, which may not be appropriate for aquatic organisms.                                         Objectives               As landscape connectivity critically affects the potential value of ponds for biodiversity, here we used diving beetles (Dytiscidae), an indicator taxon of wetland biodiversity, to investigate how structural connectivity affects functional connectivity to aquatic invertebrates in an urban landscape.                                         Methods               We assessed pairwise similarities of dytiscid community, i.e. the variation of species composition between clustered and isolated ponds in the Helsinki Metropolitan Area, Finland. We investigated how dytiscid community similarity is affected by Euclidean distances between ponds, as an indicator of structural connectivity.                                         Results               We found that clustered ponds shared more species than isolated ponds. Dytiscid species community similarity responded negatively to increasing Euclidean distance between ponds. Effectively dispersing species were widely distributed across the landscape, while poor dispersers were scarcely distributed in the same landscape.                                         Conclusions               Structural connectivity determines which species are able to disperse successfully, with poor dispersers restricted to well-connected ponds. The different responses of effective dispersers and poor dispersers to the same structural connectivity indicate that functional connectivity determines species composition. We recommend providing well-connected aquatic habitats in urban landscapes and the implementation of measures to reduce isolation of wetland assemblages. Even clustered ponds need dispersal from other habitats to ensure their contribution to urban biodiversity.",2022-04,02-05-2023 20:05,10-05-2023 16:37,02-05-2023 20:04,1049-1058,,4,37,,Landscape Ecol.,Diving beetle (Coleoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Liao_etal_2022_Landscape Ecol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPJM67RQ,journalArticle,2012,"Lizée, Marie-Hélène; Manel, Stéphanie; Mauffrey, Jean-François; Tatoni, Thierry; Deschamps-Cottin, Magali",Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-011-9651-x,http://link.springer.com/10.1007/s10980-011-9651-x,"The aim of this paper is to examine the role of urban public parks in maintaining connectivity and butterfly assemblages. Using a regression framework, we first test the relative importance of park size and isolation in predicting abundance and species richness of butterfly assemblages across a set of 24 public parks within a large metropolitan area, Marseille (South-East France). Then, we focus on landscape features that affect diversity patterns of the recorded butterfly communities. In this second part, the urban landscape surrounding each park is described (within a 1 × 1 km window) according to two major components: vegetated areas (habitat patches) and impervious or built areas (matrix patches). Specifically, we aim to test whether the incorporation of this built component (matrix) in the landscape analysis provides new insights into the understanding of ecological connectivity in the urban environment. We found a significant effect of both matrix configuration (shape complexity of the built patches) and distance from regional species pool (park isolation) on diversity of butterflies that overrides park size in their contribution to variation in species richness. This result suggests that many previous studies of interactions between biodiversity and urban landscape have overlooked the influence of the built elements.",2012-02,07-06-2022 23:15,15-05-2023 19:01,02-05-2023 20:04,159-169,,2,27,,Landscape Ecol.,,,,,,,,en-US,,,,,DOI.org (Crossref),,63 citations (Crossref) [2022-09-28],,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Lizee_etal_2012_Landscape Ecol..pdf,,YES,BENCHMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5HR78BGY,journalArticle,2013,"Caryl, Fiona M.; Thomson, Katrina; Van Der Ree, Rodney","Permeability of the urban matrix to arboreal gliding mammals: Sugar gliders in Melbourne, Australia: Permeability of Urban Matrix to Gliders",Austral Ecology,,14429985,10.1111/aec.12006,https://onlinelibrary.wiley.com/doi/10.1111/aec.12006,,2013-09,02-05-2023 20:05,10-05-2023 16:35,02-05-2023 20:04,609-616,,6,38,,Austral Ecol.,Permeability of the urban matrix to arboreal gliding mammals,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Caryl_etal_2013_Austral Ecol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
