"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8GX45G3A","journalArticle","2022","Kaushik, Monica; Tiwari, Samakshi; Manisha, Kumari","Habitat patch size and tree species richness shape the bird community in urban green spaces of rapidly urbanizing Himalayan foothill region of India","Urban Ecosystems","","1083-8155, 1573-1642","10.1007/s11252-021-01165-9","https://link.springer.com/10.1007/s11252-021-01165-9","","2022-04","2023-05-02 20:14:27","2023-05-08 15:18:17","2023-05-02 20:12:36","423-436","","2","25","","Urban Ecosyst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Kaushik_etal_2022_Urban Ecosyst.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3ELJTP7","journalArticle","2019","Aloisio, Jason M.; Palmer, Matthew I.; Tuininga, Amy R.; Lewis, James D.","Plant Colonization of Green Roofs Is Affected by Composition of Established Native Plant Communities","Frontiers in Ecology and Evolution","","2296-701X","10.3389/fevo.2018.00238","https://www.frontiersin.org/article/10.3389/fevo.2018.00238/full","","2019-01-17","2023-05-02 20:14:28","2023-05-08 15:18:17","2023-05-02 20:12:36","238","","","6","","Front. Ecol. Evol.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Aloisio_etal_2019_Front. Ecol. Evol..pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLM7RU2G","journalArticle","2022","Yang, Xudong; Cui, Honglei; Chen, Chen","Bird Flight Resistance Analysis and Planning Strategies in Urban Regeneration Areas: A Case Study of a Certain Area in Shenzhen, China","Sustainability","","2071-1050","10.3390/su141912123","https://www.mdpi.com/2071-1050/14/19/12123","At present, the sharp decline in urban biodiversity worldwide is severe. Conducting biological perspective analysis and proposing space construction solutions during urban regeneration can greatly alleviate the contradiction between urban construction and biodiversity conservation. In this study, birds were taken as biological representatives, and a certain area in Shenzhen with strong conservation needs was used as an example. Based on a thorough analysis of bird status, the minimum resistance model was applied to establish a resistance surface describing the real flight movement of the indicator species and to construct a bird conservation pattern from the flight process of birds. The results show that: (1) bird flight resistance is the lowest in the southern green space and northern woodland around the reservoir in the research region, and the resistance is higher in the central part, but the path of least resistance therein has the potential to become a corridor. (2) From the perspective of the community structure of green space vegetation, the sparse woodland and shrubland in the research region have low resistance and high richness, which are the most ideal green space forms for birds; from the perspective of architecture, bird flight resistance shows a negative correlation with building height and a positive correlation with building density. The final urban regeneration design plan is thus derived, and the validity of the method is verified based on the biodiversity index. This study reveals the possibility of applying bird flight resistance analysis based on the minimum resistance model to small and medium-scale urban regeneration areas, and also provides insight into the correlation between flight resistance and spatial design elements, which can assist decision-makers, planners and developers in spatial design and planning from a biological standpoint.","2022-09-25","2023-05-02 20:14:28","2023-05-08 15:18:17","2023-05-02 20:12:37","12123","","19","14","","Sustainability","Bird Flight Resistance Analysis and Planning Strategies in Urban Regeneration Areas","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Yang_etal_2022_Sustainability.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZC393QG","journalArticle","2008","Lundberg, Jakob; Andersson, Erik; Cleary, Grainne; Elmqvist, Thomas","Linkages beyond borders: targeting spatial processes in fragmented urban landscapes","Landscape Ecology","","0921-2973, 1572-9761","10.1007/s10980-008-9232-9","http://link.springer.com/10.1007/s10980-008-9232-9","","2008-07","2023-05-02 20:14:29","2023-05-08 15:18:18","2023-05-02 20:12:37","717-726","","6","23","","Landscape Ecol","Linkages beyond borders","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Lundberg_etal_2008_Landscape Ecol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6JECDIJ","journalArticle","2015","Graham, Laura J.; Haines-Young, Roy H.; Field, Richard","Using citizen science data for conservation planning: Methods for quality control and downscaling for use in stochastic patch occupancy modelling","Biological Conservation","","00063207","10.1016/j.biocon.2015.09.002","https://linkinghub.elsevier.com/retrieve/pii/S0006320715300951","","2015-12","2023-05-02 20:14:29","2023-05-08 15:18:18","2023-05-02 20:12:37","65-73","","","192","","Biological Conservation","Using citizen science data for conservation planning","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Graham_etal_2015_Biological Conservation.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LB9PH36K","journalArticle","2004","Elmqvist, T","The Dynamics of Social-Ecological Systems in Urban Landscapes: Stockholm and the National Urban Park, Sweden","Annals of the New York Academy of Sciences","","0077-8923","10.1196/annals.1319.017","http://doi.wiley.com/10.1196/annals.1319.017","","2004-06-01","2023-05-02 20:14:30","2023-05-10 17:19:50","2023-05-02 20:12:37","308-322","","1","1023","","Annals of the New York Academy of Sciences","The Dynamics of Social-Ecological Systems in Urban Landscapes","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Elmqvist_2004_Annals of the New York Academy of Sciences.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYVYJVXS","journalArticle","2020","Phillips, Benjamin B.; Bullock, James M.; Osborne, Juliet L.; Gaston, Kevin J.","Ecosystem service provision by road verges","Journal of Applied Ecology","","0021-8901, 1365-2664","10.1111/1365-2664.13556","https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.13556","","2020-03","2023-05-02 20:14:30","2023-05-08 15:18:19","2023-05-02 20:12:37","488-501","","3","57","","J Appl Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Phillips_etal_2020_J Appl Ecol.pdf","","MAYBE","","Manning, Peter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N33LYP4L","journalArticle","2020","Van Helden, Bronte E.; Close, Paul G.; Steven, Rochelle","Mammal conservation in a changing world: can urban gardens play a role?","Urban Ecosystems","","1083-8155, 1573-1642","10.1007/s11252-020-00935-1","http://link.springer.com/10.1007/s11252-020-00935-1","","2020-06","2023-05-02 20:14:32","2023-05-08 15:18:20","2023-05-02 20:12:37","555-567","","3","23","","Urban Ecosyst","Mammal conservation in a changing world","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Van Helden_etal_2020_Urban Ecosyst.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EV6SUQE9","journalArticle","2016","Olivier, Théophile; Schmucki, Reto; Fontaine, Benoit; Villemey, Anne; Archaux, Frédéric","Butterfly assemblages in residential gardens are driven by species’ habitat preference and mobility","Landscape Ecology","","0921-2973, 1572-9761","10.1007/s10980-015-0299-9","http://link.springer.com/10.1007/s10980-015-0299-9","","2016-05","2023-05-02 20:14:32","2023-05-08 15:18:20","2023-05-02 20:12:37","865-876","","4","31","","Landscape Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Olivier_etal_2016_Landscape Ecol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IISZXZAV","journalArticle","2020","Voigt, Christian C.; Scholl, Julia M.; Bauer, Juliane; Teige, Tobias; Yovel, Yossi; Kramer-Schadt, Stephanie; Gras, P.","Movement responses of common noctule bats to the illuminated urban landscape","Landscape Ecology","","0921-2973, 1572-9761","10.1007/s10980-019-00942-4","http://link.springer.com/10.1007/s10980-019-00942-4","","2020-01","2023-05-02 20:14:33","2023-05-08 15:18:21","2023-05-02 20:12:37","189-201","","1","35","","Landscape Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Voigt_etal_2020_Landscape Ecol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMPUUH22","journalArticle","2017","Eldegard, Katrine; Eyitayo, Damilola Lanre; Lie, Marit Helene; Moe, Stein R.","Can powerline clearings be managed to promote insect-pollinated plants and species associated with semi-natural grasslands?","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2017.07.017","https://linkinghub.elsevier.com/retrieve/pii/S0169204617301792","","2017-11","2023-05-02 20:14:33","2023-05-08 15:18:21","2023-05-02 20:12:37","419-428","","","167","","Landscape and Urban Planning","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Eldegard_etal_2017_Landscape and Urban Planning.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWSD57QR","journalArticle","2020","Fournier, Bertrand; Frey, David; Moretti, Marco","The origin of urban communities: From the regional species pool to community assemblages in city","Journal of Biogeography","","0305-0270, 1365-2699","10.1111/jbi.13772","https://onlinelibrary.wiley.com/doi/10.1111/jbi.13772","","2020-03","2023-05-02 20:14:34","2023-05-08 15:18:22","2023-05-02 20:12:37","615-629","","3","47","","J Biogeogr","The origin of urban communities","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Fournier_etal_2020_J Biogeogr.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KI992BCJ","journalArticle","2019","Han, Qiyao; Keeffe, Greg","Mapping the Flow of Forest Migration through the City under Climate Change","Urban Planning","","2183-7635","10.17645/up.v4i1.1753","https://www.cogitatiopress.com/urbanplanning/article/view/1753","Rapid climate change will create extreme problems for the biota of the planet. Much of it will have to migrate towards the poles at a rate far beyond normal speeds. In this context, the concept of assisted migration has been proposed to facilitate the migration of trees. Yet current practices of assisted migration focus on “where tree species should be in the future” and thus have many uncertainties. We suggest that more attention should be paid on the flow of forest migration. Therefore, this study develops a three-step methodology for mapping the flow of forest migration under climate change. Since the migration of trees depends on the activities of their seed dispersal agents, the accessibility of landscapes for dispersal agents is mainly considered in this study. The developed method combines a least-cost path model, a graph-based approach, and a circuit theory-based model. The least-cost path model is applied to map the movement of dispersal agents, based on which graph-based indices are used to evaluate the accessibility of landscapes for dispersal agents, which in turn is used as the basis for circuit theory-based modelling to map the flow of forest migration. The proposed method is demonstrated by a case study in the Greater Manchester area, UK. The resulting maps identify areas with high probability of climate-driven migration of trees.","2019-02-21","2023-05-02 20:14:34","2023-05-08 15:18:22","2023-05-02 20:12:37","139-151","","1","4","","UP","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Han_Keeffe_2019_UP.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CE2AUS9F","journalArticle","2022","Grade, Aaron M.; Warren, Paige S.; Lerman, Susannah B.","Managing yards for mammals: Mammal species richness peaks in the suburbs","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2021.104337","https://linkinghub.elsevier.com/retrieve/pii/S0169204621003005","","2022-04","2023-05-02 20:14:35","2023-05-08 15:18:23","2023-05-02 20:12:37","104337","","","220","","Landscape and Urban Planning","Managing yards for mammals","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Grade_etal_2022_Landscape and Urban Planning.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPFKXBCL","journalArticle","2008","Pillsbury, Finn C.; Miller, James R.","Habitat and Landscape Characteristics Underlying Anuran Community Structure Along an Urban–Rural Gradient","Ecological Applications","","1051-0761","10.1890/07-1899.1","http://doi.wiley.com/10.1890/07-1899.1","","2008-07","2023-05-02 20:14:35","2023-05-10 17:29:12","2023-05-02 20:12:38","1107-1118","","5","18","","Ecological Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Pillsbury_Miller_2008_Ecological Applications.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLZTQJMC","journalArticle","2018","Magle, Seth B.; Fidino, Mason","Long-term declines of a highly interactive urban species","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-018-1621-z","http://link.springer.com/10.1007/s10531-018-1621-z","","2018-12","2023-05-02 20:14:36","2023-05-08 15:18:23","2023-05-02 20:12:38","3693-3706","","14","27","","Biodivers Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Magle_Fidino_2018_Biodivers Conserv.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PBIBVJ4","journalArticle","2015","Parks, Leslie C.; Wallin, David O.; Cushman, Samuel A.; McRae, Brad H.","Landscape-level analysis of mountain goat population connectivity in Washington and southern British Columbia","Conservation Genetics","","1566-0621, 1572-9737","10.1007/s10592-015-0732-2","http://link.springer.com/10.1007/s10592-015-0732-2","","2015-10","2023-05-02 20:14:36","2023-05-08 15:18:24","2023-05-02 20:12:38","1195-1207","","5","16","","Conserv Genet","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Parks_etal_2015_Conserv Genet.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3U6VYNRG","journalArticle","2021","Emel, Sarah L.; Wang, Shichen; Metz, Richard P.; Spigler, Rachel B.","Type and intensity of surrounding human land use, not local environment, shape genetic structure of a native grassland plant","Molecular Ecology","","0962-1083, 1365-294X","10.1111/mec.15753","https://onlinelibrary.wiley.com/doi/10.1111/mec.15753","","2021-02","2023-05-02 20:14:36","2023-05-10 17:19:49","2023-05-02 20:12:38","639-655","","3","30","","Molecular Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Emel_etal_2021_Molecular Ecology.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54LHISJE","journalArticle","2021","Penteado, Homero Marconi","Urban open spaces from a dispersal perspective: lessons from an individual-based model approach to assess the effects of landscape patterns on the viability of wildlife populations","Urban Ecosystems","","1083-8155, 1573-1642","10.1007/s11252-020-01074-3","https://link.springer.com/10.1007/s11252-020-01074-3","Abstract                            Green areas drawn on a city plan represent open spaces that have different meanings for humans and wildlife. Diverse kinds of green may influence species viability in urban environments. It is necessary to understand what those areas mean for wildlife populations and how land-use changes affect habitats and movements for making scientifically defensible planning and design decisions. My objective was to demonstrate how open space and urban development patterns affect the viability of wildlife populations in urbanizing landscapes from a movements perspective. Eight scenarios for 2060 for an urbanizing area near Portland, Oregon combined four open space (none, corridors, parks, and network) with two urban development patterns (compact and dispersed). Dispersal model HexSim simulated three target species – Red-legged frog (               Rana aurora aurora               ), Western meadowlark (               Sturnella neclecta               ) and Douglas squirrel (               Tamasciurus douglasii               ) – movements on those scenarios to compare and contrast sustained populations to the ca. 2010 baseline landscape. Network scenarios presented the largest number of frog breeders. Greenway scenarios showed the largest populations of squirrels. Park and network scenarios sustained viable populations of meadowlarks, but park scenarios performed best. Compact development scenarios performed best for most indicators, while dispersed development scenarios performed better for meadowlarks. Network scenarios performed best when considering the collective of species. Networks presented more diverse habitats, sustaining higher diversity of species. For plans to sustain more species, more comprehensive and diverse habitats must be promoted, otherwise trade-offs should be expected – like the extinction of meadowlarks in greenway scenarios.","2021-08","2023-05-02 20:14:38","2023-05-08 15:18:25","2023-05-02 20:12:38","753-766","","4","24","","Urban Ecosyst","Urban open spaces from a dispersal perspective","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Penteado_2021_Urban Ecosyst.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5FW3NMJ","journalArticle","2017","Leonard, P. B.; Sutherland, R. W.; Baldwin, R. F.; Fedak, D. A.; Carnes, R. G.; Montgomery, A. P.","Landscape connectivity losses due to sea level rise and land use change","Animal Conservation","","13679430","10.1111/acv.12289","https://onlinelibrary.wiley.com/doi/10.1111/acv.12289","","2017-02","2023-05-02 20:14:38","2023-05-10 17:19:49","2023-05-02 20:12:38","80-90","","1","20","","Anim Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Leonard_etal_2017_Anim Conserv.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8IN3QMGK","journalArticle","2013","Soga, Masashi; Koike, Shinsuke","Large Forest Patches Promote Breeding Success of a Terrestrial Mammal in Urban Landscapes","PLoS ONE","","1932-6203","10.1371/journal.pone.0051802","https://dx.plos.org/10.1371/journal.pone.0051802","","2013-01-02","2023-05-02 20:14:39","2023-05-08 15:18:25","2023-05-02 20:12:38","e51802","","1","8","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Soga_Koike_2013_PLoS ONE.pdf","","MAYBE","","Schmidt, Benedikt R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LC6GC7AJ","journalArticle","2017","Hong, Wuyang; Guo, Renzhong; Su, Mo; Tang, Hao; Chen, Liuxin; Hu, Wei","Sensitivity evaluation and land-use control of urban ecological corridors: A case study of Shenzhen, China","Land Use Policy","","02648377","10.1016/j.landusepol.2017.01.010","https://linkinghub.elsevier.com/retrieve/pii/S0264837716306020","","2017-03","2023-05-02 20:14:40","2023-05-08 15:18:25","2023-05-02 20:12:38","316-325","","","62","","Land Use Policy","Sensitivity evaluation and land-use control of urban ecological corridors","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Hong_etal_2017_Land Use Policy.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7A7V4VCM","journalArticle","2012","Garcia, Cf; Hochmüller, Cjc; Valente, Vls; Schmitz, Hj","Drosophilid Assemblages at Different Urbanization Levels in the City of Porto Alegre, State of Rio Grande do Sul, Southern Brazil","Neotropical Entomology","","1519-566X, 1678-8052","10.1007/s13744-011-0007-7","http://link.springer.com/10.1007/s13744-011-0007-7","","2012-02","2023-05-02 20:14:41","2023-05-08 15:18:26","2023-05-02 20:12:38","32-41","","1","41","","Neotrop Entomol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Garcia_etal_2012_Neotrop Entomol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H36K35I5","journalArticle","2018","Qian, Jing; Xiang, Wei-Ning; Liu, Yanfang; Meng, Xuchu","Incorporating landscape diversity into greenway alignment planning","Urban Forestry & Urban Greening","","16188667","10.1016/j.ufug.2018.08.006","https://linkinghub.elsevier.com/retrieve/pii/S1618866717303941","","2018-10","2023-05-02 20:14:42","2023-05-08 15:18:26","2023-05-02 20:12:38","45-56","","","35","","Urban Forestry & Urban Greening","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Qian_etal_2018_Urban Forestry & Urban Greening.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9JYJUJX","journalArticle","2017","Colorado Zuluaga, Gabriel Jaime; Vásquez Muñoz, Jorge Luis; Mazo Zuluaga, Ingrid Natalia","Modelo De Conectividad Ecológica De Fragmentos De Bosque Andino En Santa Elena (medellín, Colombia)","Acta Biológica Colombiana","","1900-1649, 0120-548X","10.15446/abc.v22n3.63013","http://revistas.unal.edu.co/index.php/actabiol/article/view/63013","La fragmentación de bosques y la potencial pérdida de calidad de hábitat asociada es una de las principales causas de pérdida de biodiversidad. Una de las estrategias para fomentar el mantenimiento de la misma a nivel de paisaje es el establecimiento de corredores biológicos que faciliten la conectividad estructural y funcional de los elementos bióticos. Sin embargo, la aplicabilidad y funcionalidad de esta herramienta está limitada por la falta de planeación al momento del diseño y establecimiento de corredores o redes de conectividad que obedezcan a métodos detallados y rigurosos. En esta investigación desarrollamos una propuesta teórica de conectividad ecológica para el corregimiento de Santa Elena, municipio de Medellín, Colombia, empleando herramientas de la ecología del paisaje. Inicialmente, se seleccionaron 21 fragmentos de bosque o núcleos a conectar a partir de su tamaño mínimo (mayores a 5 ha), área de interior (mayor a 1 ha) y sus índices de forma (redondeados o casi redondeados). Seguidamente, a partir de la creación de una matriz de fricción al desplazamiento, diseñamos una red potencial que permitiría conectar 1356,35 ha de nodos de bosques remanentes a través de 31 corredores ecológicos de 100 m de ancho con una extensión total de 208,33 ha. Finalmente, discutimos la importancia de fomentar este tipo de herramientas de planeación con herramientas de la ecología del paisaje que promueven la conservación de hábitats y la conectividad del paisaje en áreas cercanas a grandes urbes latinoamericanas.","2017-09-01","2023-05-02 20:14:42","2023-05-15 21:07:36","2023-05-02 20:12:38","379-393","","3","22","","Acta biol. Colomb.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Colorado Zuluaga_etal_2017_Acta biol. Colomb..pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCBXYT73","journalArticle","2014","Madre, Frédéric; Vergnes, Alan; Machon, Nathalie; Clergeau, Philippe","Green roofs as habitats for wild plant species in urban landscapes: First insights from a large-scale sampling","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2013.11.012","https://linkinghub.elsevier.com/retrieve/pii/S0169204613002260","","2014-02","2023-05-02 20:14:42","2023-05-08 15:18:26","2023-05-02 20:12:38","100-107","","","122","","Landscape and Urban Planning","Green roofs as habitats for wild plant species in urban landscapes","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Madre_etal_2014_Landscape and Urban Planning.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETRJ9B4Q","journalArticle","2023","Casanelles‐Abella, Joan; Fontana, Simone; Fournier, Bertrand; Frey, David; Moretti, Marco","Low resource availability drives feeding niche partitioning between wild bees and honeybees in a European city","Ecological Applications","","1051-0761, 1939-5582","10.1002/eap.2727","https://onlinelibrary.wiley.com/doi/10.1002/eap.2727","","2023-01","2023-05-02 20:14:43","2023-05-08 15:18:26","2023-05-02 20:12:38","","","1","33","","Ecological Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Casanelles‐Abella_etal_2023_Ecological Applications.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3HX43M6","journalArticle","2021","Richardson, Jonathan L.; Michaelides, Sozos; Combs, Matthew; Djan, Mihajla; Bisch, Lianne; Barrett, Kerry; Silveira, Georgianna; Butler, Justin; Aye, Than Thar; Munshi‐South, Jason; DiMatteo, Michael; Brown, Charles; McGreevy, Thomas J.","Dispersal ability predicts spatial genetic structure in native mammals persisting across an urbanization gradient","Evolutionary Applications","","1752-4571, 1752-4571","10.1111/eva.13133","https://onlinelibrary.wiley.com/doi/10.1111/eva.13133","","2021-01","2023-05-02 20:14:43","2023-05-08 15:18:26","2023-05-02 20:12:38","163-177","","1","14","","Evol Appl","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Richardson_etal_2021_Evol Appl.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4C9S2LDW","journalArticle","2021","Ma, Qiwei; Li, Yonghua; Xu, Lihua","Identification of green infrastructure networks based on ecosystem services in a rapidly urbanizing area","Journal of Cleaner Production","","09596526","10.1016/j.jclepro.2021.126945","https://linkinghub.elsevier.com/retrieve/pii/S0959652621011641","","2021-06","2023-05-02 20:14:43","2023-05-08 15:18:26","2023-05-02 20:12:38","126945","","","300","","Journal of Cleaner Production","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Ma_etal_2021_Journal of Cleaner Production.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
