Study_no,ES_no,Title,FirstAuth,Pub_year,Pub_type,Pub_name,DOI,City,Country,Study_year,Study_class,Study_order,Study_spec,Study_effect,Conn_type,Conn_metric,Conn_buffer,Conn_feat,Conn_lcclass,Conn_tool,r_metric,r_method,corr_type,mi,ri,ti,fi,pi,bi,var_sdi,var_type,R2i,ni,n_type,NOTES
39,170,Biodiversity in urban habitat patches,Angold,2006,journalarticle,Science of The Total Environment,10.1016/j.scitotenv.2005.08.035,Birmingham,United Kingdom,2000,insecta,lepidotera,Maniola jurtina,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-allozyme,mantel,na,0.13,0.75,na,0.77,na,na,na,na,35,sites - populations,"lepidoptera, using allozymes. Sample sizes calculated from r, t-value"
39,171,Biodiversity in urban habitat patches,Angold,2006,journalarticle,Science of The Total Environment,10.1016/j.scitotenv.2005.08.035,Birmingham,United Kingdom,2000,insecta,lepidotera,Pyronia tithonus,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-allozyme,mantel,na,-0.18,-1.08,na,0.14,na,na,na,na,37,sites - populations,"lepidoptera, using allozymes. Sample sizes calculated from r, t-value"
39,172,Biodiversity in urban habitat patches,Angold,2006,journalarticle,Science of The Total Environment,10.1016/j.scitotenv.2005.08.035,Birmingham,United Kingdom,2000,insecta,lepidotera,Pieris napi,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-allozyme,mantel,na,-0.34,-1.54,na,0.06,na,na,na,na,20,sites - populations,"lepidoptera, using allozymes. Sample sizes calculated from r, t-value"
39,173,Biodiversity in urban habitat patches,Angold,2006,journalarticle,Science of The Total Environment,10.1016/j.scitotenv.2005.08.035,Birmingham,United Kingdom,2000,insecta,lepidotera,Coenonympha pamphilus,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-allozyme,mantel,na,-0.15,-0.84,na,0.2,na,na,na,na,33,sites - populations,"lepidoptera, using allozymes. Sample sizes calculated from r, t-value"
40,174,The importance of functional connectivity in the conservation of a ground-dwelling mammal in an urban Australian landscape,Fitzgibbon,2007,journalarticle,Landscape Ecology,10.1007/s10980-007-9139-x,Brisbane,Australia,2001,mammalia,Peramelemorphia,bandicoot,associative,functional,functional connectivity index,na,resistance-weighted area,green,GIS,occurrence,site survey,pearson,na,0.56,na,na,na,na,na,na,na,68,sites - patch,"connectivity metric is sorta like Hanski, but with weighted resistance distances. Correlation calculated from X2 value."
41,175,"The Role of Urban Structures in the Distribution of Wasteland Flora in the Greater Paris Area, France",Muratet,2007,journalarticle,Ecosystems,10.1007/s10021-007-9047-6,Paris,France,2001-05,plantae,vascular plants,na,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,-0.21,na,na,na,na,na,na,na,98,sites - patch,I've used the inverse relationship of the correlation. Authors confuse dis/similarity. Figure 3 has a scatter plot with way too many points that says SIMILARITY and the abstract says dissimilarity. 
42,176,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Turdus migratorius,comparative,functional,current flow,1.5,resistance,perm,gDistance,occurrence,site survey,pearson,na,0.13,na,na,na,na,na,na,na,103,sites - sampled,Authors describe 'permeability' but it is equivelent to current flow; correlation coefficient calculated from means and 95%CI from figure 3.
42,177,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Turdus migratorius,comparative,functional,habitat suitability,1.5,resistance,perm,R,occurrence,site survey,pearson,na,-0.15,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
42,178,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Dumetella carolinensis,comparative,functional,current flow,1.5,resistance,perm,gDistance,occurrence,site survey,pearson,na,0.26,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
42,179,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Dumetella carolinensis,comparative,functional,habitat suitability,1.5,resistance,perm,R,occurrence,site survey,pearson,na,0.08,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
42,180,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Passer domesticus,comparative,functional,current flow,1.5,resistance,perm,gDistance,occurrence,site survey,pearson,na,0.12,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
42,181,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Passer domesticus,comparative,functional,habitat suitability,1.5,resistance,perm,R,occurrence,site survey,pearson,na,0.06,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
42,182,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Cardinalis cardinalis,comparative,functional,current flow,1.5,resistance,perm,gDistance,occurrence,site survey,pearson,na,0.23,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
42,183,Dispersal in the Urban Matrix: Assessing the Influence of Landscape Permeability on the Settlement Patterns of Breeding Songbirds,Evans,2017,journalarticle,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00063,"Washington, D.C.",United States,2011,aves,passeriformes,Cardinalis cardinalis,comparative,functional,habitat suitability,1.5,resistance,perm,R,occurrence,site survey,pearson,na,0.08,na,na,na,na,na,na,na,103,sites - sampled,correlation coefficient calculated from means and 95%CI from figure 3.
43,184,"Spatial and temporal analysis of the distribution of forest specialists in an urban-fragmented landscape (Madrid, Spain)",Fernández-Juricic,2004,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2003.09.001,Madrid,Spain,1998,aves,passeriformes,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,orthomap,nestedness temperature,site survey,spearman,na,-0.46,na,na,0.05,na,na,na,na,22,sites - parks,nestedness of sampled parks
43,185,"Spatial and temporal analysis of the distribution of forest specialists in an urban-fragmented landscape (Madrid, Spain)",Fernández-Juricic,2004,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2003.09.001,Madrid,Spain,1998,aves,passeriformes,Parus major,associative,structural,distance to nearest neighbour,na,distance,dist-green,orthomap,occurrence,site survey,glm-logistic,2,na,na,na,na,-3.9,na,na,na,22,sites - parks,"logistic regression, extracted from table 3 when available"
43,186,"Spatial and temporal analysis of the distribution of forest specialists in an urban-fragmented landscape (Madrid, Spain)",Fernández-Juricic,2004,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2003.09.001,Madrid,Spain,1998,aves,passeriformes,Parus caeruleus,associative,structural,distance to nearest larger neighbour,na,distance,dist-green,orthomap,occurrence,site survey,glm-logistic,2,na,na,na,na,-1.7,na,na,na,22,sites - parks,"logistic regression, extracted from table 3 when available"
44,187,Colonization and Persistence of Urban Ant Populations as Revealed by Joint Estimation of Kinship and Population Genetic Parameters,Yamamoto,2013,journalarticle,Journal of Heredity,10.1093/jhered/est041,Kobe,Japan,2021,insecta,hymenoptera,Formica japonica,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-microsatellite,mantel,na,0.09,na,na,0.2135,na,na,na,na,10,sites - populations,"I think its log(geogdistance). also broken down by sex; (queen: Mantel r = −0.019, P = 0.4745; male: Mantel r = 0.154, P = 0.1164)"
45,188,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,aves,na,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,species richness,transect survey,pearson,na,-0.45,na,na,0.051,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,189,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,aves,na,na,associative,structural,distance to nearest larger neighbour,na,distance,dist-green,GIS,species richness,transect survey,pearson,na,-0.33,na,na,0.171,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,190,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,aves,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,transect survey,pearson,na,0.74,na,na,0,na,na,na,na,19,sites - reserves,ln(Corridor connectivity) is really a metric of vegetation cover in the landscape 
45,191,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,amphibia,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,site survey,pearson,na,-0.54,na,na,0.017,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,192,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,amphibia,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,site survey,pearson,na,-0.27,na,na,0.27,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,193,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,amphibia,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,site survey,pearson,na,0.74,na,na,0,na,na,na,na,19,sites - reserves,ln(Corridor connectivity) is really a metric of vegetation cover in the landscape 
45,194,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,plantae,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,site survey,pearson,na,-0.29,na,na,0.235,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,195,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,plantae,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,site survey,pearson,na,-0.04,na,na,0.861,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,196,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,plantae,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,site survey,pearson,na,0.47,na,na,0.04,na,na,na,na,19,sites - reserves,ln(Corridor connectivity) is really a metric of vegetation cover in the landscape 
45,197,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,fungus,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,random meander,pearson,na,-0.5,na,na,0.029,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,198,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,fungus,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,random meander,pearson,na,0.05,na,na,0.885,na,na,na,na,19,sites - reserves,data used in Beninde 2015
45,199,The search for fragmentation thresholds in a Southern Sydney Suburb,Drinnan,2005,journalarticle,Biological Conservation,10.1016/j.biocon.2005.01.040,Sydney,Australia,1998-03,fungus,na,na,associative,structural,landscape forest proportion,na,area,green,GIS,species richness,random meander,pearson,na,0.41,na,na,0.078,na,na,na,na,19,sites - reserves,ln(Corridor connectivity) is really a metric of vegetation cover in the landscape 
46,200,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,native birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.18,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,201,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,native birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,0.03,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,202,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,native birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,-0.03,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,203,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,native birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,0.11,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,204,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,forest birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.02,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,205,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,forest birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,0.01,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,206,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,forest birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,-0.29,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,207,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,forest birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,0.34,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,208,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,woodland birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.12,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,209,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,woodland birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,0.12,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,210,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,woodland birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,0.09,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,211,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,woodland birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,-0.07,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,212,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,grassland birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.22,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,213,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,grassland birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,-0.02,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,214,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,grassland birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,0.11,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,215,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,grassland birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,-0.01,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,216,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,ground birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.17,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,217,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,ground birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,0.06,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,218,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,ground birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,0.11,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,219,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,ground birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,-0.09,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,220,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,water birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.3,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,221,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,water birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,-0.07,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,222,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,water birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,0.09,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,223,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,water birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,0.06,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,224,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,synanthropic birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.03,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,225,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,synanthropic birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,-0.01,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,226,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,synanthropic birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,-0.3,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,227,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,synanthropic birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,0.29,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,228,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,exotic birds,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,-0.15,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,229,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,exotic birds,associative,structural,proportion developed in patch,na,area,grey,GIS,species richness,site survey,pearson,na,0.02,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,230,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,exotic birds,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,site survey,pearson,na,-0.06,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
46,231,Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Chang,2017,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2016.05.028,Taipei,Taiwan,2004,aves,na,exotic birds,associative,structural,area greenspace in buffer,1,area,green,GIS,species richness,site survey,pearson,na,0.09,na,na,na,na,na,na,na,283,sites - patch,maybe just compile the functional bird groups into 1?
47,232,Partitioning the effects of habitat fragmentation on rodent species richness in an urban landscape,Johnson,2016,journalarticle,Urban Ecosystems,10.1007/s11252-015-0513-1,Thousand Oaks,United States,2013,mammalia,rodentia,na,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,species richness,baited live-trapping,pearson,na,-0.28,na,na,na,na,na,na,na,25,sites - patch,"Thousand oaks California, there might be other cities with the same name. Correlations manually calculated from raw data"
47,233,Partitioning the effects of habitat fragmentation on rodent species richness in an urban landscape,Johnson,2016,journalarticle,Urban Ecosystems,10.1007/s11252-015-0513-1,Thousand Oaks,United States,2013,mammalia,rodentia,na,associative,structural,area developed in buffer,0.2,area,grey,GIS,species richness,baited live-trapping,pearson,na,-0.27,na,na,na,na,na,na,na,25,sites - patch,"Reported as proportion undeveloped, values are reversed to get proportion developed. Correlations manually calculated from raw data"
48,234,"Role of urban green spaces for saproxylic beetle conservation: a case study of tenebrionids in Rome, Italy",Fattorini,2016,journalarticle,Journal of Insect Conservation,10.1007/s10841-016-9900-z,Rome,Italy,2000,insecta,coleoptera,na,associative,structural,distance to urban core,na,distance,dist-grey,GIS,species richness,site survey,pearson,na,-0.1,na,na,na,na,na,na,na,16,sites - greenspaces,manually calculated from raw data provided in table 1
48,235,"Role of urban green spaces for saproxylic beetle conservation: a case study of tenebrionids in Rome, Italy",Fattorini,2016,journalarticle,Journal of Insect Conservation,10.1007/s10841-016-9900-z,Rome,Italy,2000,insecta,coleoptera,na,associative,structural,mean euclidean nearest neighbour distance,na,mean distance,dist,GIS,species richness,site survey,pearson,na,0.22,na,na,na,na,na,na,na,17,sites - greenspaces,manually calculated from raw data provided in table 2
48,236,"Role of urban green spaces for saproxylic beetle conservation: a case study of tenebrionids in Rome, Italy",Fattorini,2016,journalarticle,Journal of Insect Conservation,10.1007/s10841-016-9900-z,Rome,Italy,2000,insecta,coleoptera,na,associative,structural,proportion area greenspace in patch,na,area,green,GIS,species richness,site survey,pearson,na,0.01,na,na,na,na,na,na,na,18,sites - greenspaces,manually calculated from raw data provided in table 3
