ID,pd,item_type,pub_year,author,title,journal,ISBN,ISSN,DOI,URL,pdf,urban_area,country,conn_type,conn_metric,response_var,taxa,validation,data_location,excl_reason,result_sign,notes
330,YES,journalArticle,2019,"Fraser, Devaughn L.; Ironside, Kirsten; Wayne, Robert K.; Boydston, Erin E.",Connectivity of mule deer (Odocoileus hemionus) populations in a highly fragmented urban landscape,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-019-00824-9,http://link.springer.com/10.1007/s10980-019-00824-9,Y,Los Angeles,USA,"genetic, potential",least-cost path,inverse relatedness,mammalia,genetic sample,"text, table",na,pos,"mule deer, least-cost paths resistance defined using inaturalist and traffic cam data. Interesting genetic metric used"
21,YES,journalArticle,2020,"Freitas, Érica Vanessa Durães; Das Dores Magalhães Veloso, Maria; De Araújo, Walter Santos","Urbanization alters the composition, but not the diversity and structure, of Neotropical savanna woody plant communities",Folia Geobotanica,,"1211-9520, 1874-9348",10.1007/s12224-020-09366-4,https://link.springer.com/10.1007/s12224-020-09366-4,Y,Montes Claros,Brazil,na,na,na,plants,site survey,na,5,na,"focus on urbanization, not on within city connectivity"
382,YES,journalArticle,2020,"Furberg, Dorothy; Ban, Yifang; Mörtberg, Ulla",Monitoring Urban Green Infrastructure Changes and Impact on Habitat Connectivity Using High-Resolution Satellite Data,Remote Sensing,,2072-4292,10.3390/rs12183072,https://www.mdpi.com/2072-4292/12/18/3072,Y,Stockholm,Sweden,potential,"probability of connectivity index, equivlent connected area",,multi-taxa,none,na,8,na,"comparison of connectivity change over time using satellite imagery. No validation of the models. Resistance values from Mortberg 2002, 2006"
41,YES,journalArticle,2016,"Furman, Benjamin L. S.; Scheffers, Brett R.; Taylor, Murdoch; Davis, Corey; Paszkowski, Cynthia A.",Limited genetic structure in a wood frog (Lithobates sylvaticus) population in an urban landscape inhabiting natural and constructed wetlands,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-015-0757-6,http://link.springer.com/10.1007/s10592-015-0757-6,Y,Edmonton,Canada,genetic,geographic distance,genetic differentiation,amphibia,genetic sample,"text, table",na,0,"10 microsatellite loci, woodfrogs in natural and artificial wetlands"
275,YES,journalArticle,2019,"?opucki, Rafa?; Klich, Daniel; Kitowski, Ignacy",Are small carnivores urban avoiders or adapters: Can they be used as indicators of well-planned green areas?,Ecological Indicators,,1470160X,10.1016/j.ecolind.2019.02.016,https://linkinghub.elsevier.com/retrieve/pii/S1470160X19301256,Y,Lublin,Poland,na,na,occurrence,mammalia,bait traps,na,5,na,"urbanization gradient analysis, comparison between urban and rural sample sites. Land cover type was NOT important"
340,YES,journalArticle,2014,"Fuyuki, Aimi; Yamaura, Yuichi; Nakajima, Yuri; Ishiyama, Nobuo; Akasaka, Takumi; Nakamura, Futoshi","Pond area and distance from continuous forests affect amphibian egg distributions in urban green spaces: A case study in Sapporo, Japan",Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2013.11.003,https://linkinghub.elsevier.com/retrieve/pii/S161886671300126X,Y,Sapporo,Japan,structural,distance to continuous forest,mean number of egg masses,amphibia,site survey,"text, table, figure",na,neg,"2 pond breeding amphibian species,"
426,YES,journalArticle,2017,"Gangloff, E.J.; Reding, D.M.; Bertolatus, D.; Reigel, C.J.; Gagliardi-Seeley, J.L.; Bronikowski, A.M.",Snakes in the city: Population structure of sympatric gartersnakes (Thamnophis spp.) in an Urban landscape,Herpetological Conservation and Biology,,2151-0733,na,na,N,na,na,na,na,na,na,na,na,1,na,
320,YES,journalArticle,2001,"Ganzhorn, Jörg U.; Eisenbeiß, Barbara",The the concept of nested species assemblages and its utility for understanding effects of habitat fragmentation,Basic and Applied Ecology,,14391791,10.1078/1439-1791-00040,https://linkinghub.elsevier.com/retrieve/pii/S143917910470033X,Y,Hamburg,Germany,structural,distance to nearest larger bloc of forest,distribution,aves,survey,"text, table",na,neg,unclear description of biological metrics derived from the surveys
360,YES,journalArticle,2021,"Gao, Zhiwen; Song, Kun; Pan, Yingji; Malkinson, Dan; Zhang, Xijin; Jia, Bo; Xia, Tiyuan; Guo, Xueyan; Liang, Hong; Huang, Shasha; Da, Liangjun; Van Bodegom, Peter M.; Cieraad, Ellen",Drivers of spontaneous plant richness patterns in urban green space within a biodiversity hotspot,Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2021.127098,https://linkinghub.elsevier.com/retrieve/pii/S1618866721001230,Y,Kunming,China,structural,distance to nearest neighbour,species richness,plants,transect survey,"text, table, figure, supplement",na,0,kinda strange presentation of results. Not sure what to extract
117,YES,journalArticle,2022,"Garcia, André; Vaz, Pedro Gonçalves; Franco, José Carlos; Nunes, Pedro; Jactel, Hervé; Branco, Manuela",Urban tree isolation affects the abundance of its pests and their natural enemies,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2022.104515,https://linkinghub.elsevier.com/retrieve/pii/S0169204622001645,Y,na,Portugal,na,na,na,na,na,na,5,na,"selected isolated and forest patches apriori to compare, no metric of connectivity was used"
32,YES,journalArticle,2010,"Garden, Jenni G.; McAlpine, Clive A.; Possingham, Hugh P.","Multi-scaled habitat considerations for conserving urban biodiversity: native reptiles and small mammals in Brisbane, Australia",Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-010-9476-z,http://link.springer.com/10.1007/s10980-010-9476-z,Y,Brisbane,Australia,structural,average nearest neighbour distance,species richness,"mammalia, reptilia",site survey,na,10,0,"no results presented about it, either forgot or intentionally omitted"
368,YES,journalArticle,2022,"Garfinkel, Megan; Hosler, Sheryl; Whelan, Christopher; Minor, Emily",Powerline Corridors Can Add Ecological Value to Suburban Landscapes When Not Maintained as Lawn,Sustainability,,2071-1050,10.3390/su14127113,https://www.mdpi.com/2071-1050/14/12/7113,Y,Chicago,USA,na,na,na,na,na,na,5,na,"comparing management differences in established corridors, no connectivity metric"
228,YES,journalArticle,2022,"Gathof, Anika Kristin; Grossmann, Anita Judit; Herrmann, Johann; Buchholz, Sascha",Who can pass the urban filter? A multi-taxon approach to disentangle pollinator trait–environmental relationships,Oecologia,,"0029-8549, 1432-1939",10.1007/s00442-022-05174-z,https://link.springer.com/10.1007/s00442-022-05174-z,Y,Berlin,Germany,potential,area-weighted connectivity index,community composition,arthropod,pan trap,"text, figure, supplement",na,mixed,Using CityScape platform data; connectivity metric is from this database; based on hanski's metric
9,YES,journalArticle,2020,"Gecchele, Lisa V.; Pedersen, Amy B.; Bell, Matthew",Fine?scale variation within urban landscapes affects marking patterns and gastrointestinal parasite diversity in red foxes,Ecology and Evolution,,"2045-7758, 2045-7758",10.1002/ece3.6970,https://onlinelibrary.wiley.com/doi/10.1002/ece3.6970,Y,Edinburgh,UK,structural,greenspace ratio,# of scats,na,scat sample,na,5,na,not actually a measure of connectivity
162,YES,journalArticle,2022,"Giuntini, Silvia; Ancillotto, Leonardo; Falaschi, Mattia; Viviano, Andrea; Palagi, Elisabetta; Mori, Emiliano",Alien parakeets as a potential threat to the common noctule Nyctalus noctula,Biodiversity and Conservation,,"0960-3115, 1572-9710",10.1007/s10531-022-02476-9,https://link.springer.com/10.1007/s10531-022-02476-9,Y,na,Italy,potential,current flow,habitat suitability,aves,site survey,"text, table, figure",8,na,"Citizen science used to model SDM. SDM used to parameterize the cost layer. No validation of the connectivity model, interesting framework though. Not in a specific city, across an entire jurisdiction."
357,YES,journalArticle,2022,"Grabow, Marius; Louvrier, Julie L. P.; Planillo, Aimara; Kiefer, Sarah; Drenske, Sinah; Börner, Konstantin; Stillfried, Milena; Hagen, Robert; Kimmig, Sophia; Straka, Tanja M.; Kramer-Schadt, Stephanie",Data-integration of opportunistic species observations into hierarchical modeling frameworks improves spatial predictions for urban red squirrels,Frontiers in Ecology and Evolution,,2296-701X,10.3389/fevo.2022.881247,https://www.frontiersin.org/articles/10.3389/fevo.2022.881247/full,Y,Berlin,Germany,potential,current flow,habitat suitability,mammalia,citizen science,na,8,na,"red squirrels, SDM used to characterize resistance layer"
2,YES,journalArticle,2017,"Grafius, Darren R.; Corstanje, Ron; Siriwardena, Gavin M.; Plummer, Kate E.; Harris, Jim A.",A bird’s eye view: using circuit theory to study urban landscape connectivity for birds,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-017-0548-1,http://link.springer.com/10.1007/s10980-017-0548-1,Y,Milton Keynes; Luton; Bedford,UK,potential,mean current density in 60m buffer,abundance,aves,site survey,"text, table,",na,mixed,a random direction (Keitt et al. 1997).
42,YES,journalArticle,2019,"Grafius, Darren R.; Corstanje, Ron; Warren, Philip H.; Evans, Karl L.; Norton, Briony A.; Siriwardena, Gavin M.; Pescott, Oliver L.; Plummer, Kate E.; Mears, Meghann; Zawadzka, Joanna; Richards, J. Paul; Harris, Jim A.",Using GIS-linked Bayesian Belief Networks as a tool for modelling urban biodiversity,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2019.05.012,https://linkinghub.elsevier.com/retrieve/pii/S0169204618307497,Y,Milton Keynes; Luton; Bedford,UK,potential,current flow,species richness,multi-taxa,site survey,"text, table, figure, supplement",na,mixed,"bayesian belief network analysis. Birds, plants, and invertebrates included. Not entirely sure how to interpret this model"
214,YES,journalArticle,2017,"Grand, Lauren A.; Hayes, Marc P.; Vogt, Kristiina A.; Vogt, Daniel J.; Yarnold, Paul R.; Richter, Klaus O.; Anderson, Christopher D.; Ostergaard, Elissa C.; Wilhelm, Jo O.",Identification of habitat controls on northern red-legged frog populations: implications for habitat conservation on an urbanizing landscape in the Pacific Northwest,Ecological Processes,,2192-1709,10.1186/s13717-017-0111-7,https://ecologicalprocesses.springeropen.com/articles/10.1186/s13717-017-0111-7,Y,Seattle,USA,structural,cohesion,"occurrence, abundance",amphibia,site survey,"text, table",na,pos,not sure cohesion is really a connectivity metric…
195,YES,journalArticle,2020,"Grande, Thallita Oliveira; Alencar, Raony Macedo; Ribeiro, Paulo Pinheiro; Melo, Fabiano Rodrigues","Fragment shape and size, landscape permeability and fragmentation level as predictors of primate occupancy in a region of Brazilian Cerrado",Acta Scientiarum. Biological Sciences,,"1807-863X, 1679-9283",10.4025/actascibiolsci.v42i1.48339,http://www.periodicos.uem.br/ojs/index.php/ActaSciBiolSci/article/view/48339,Y,Goiania,Brazil,"structural, potential","proximity index, permeability index",occurrence,primate,mob-call survey,"text, table",na,pos,"3 primate species, in urban-rural gradient. Permeability only significant for 1 species, otherwise neutral"
370,YES,journalArticle,2003,"Green, Douglas M; Baker, Micheal G",Urbanization impacts on habitat and bird communities in a Sonoran desert ecosystem,Landscape and Urban Planning,,1692046,10.1016/S0169-2046(02)00195-0,https://linkinghub.elsevier.com/retrieve/pii/S0169204602001950,Y,Phoenix,USA,na,na,"species richness, abundance",aves,survey,na,8,na,"only habitat variables measured, no connectivity metric estimated"
57,YES,journalArticle,2021,"Green, Jemma; Govindarajulu, Purnima; Higgs, Eric",Multiscale determinants of Pacific chorus frog occurrence in a developed landscape,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-020-01057-4,https://link.springer.com/10.1007/s11252-020-01057-4,Y,Saanich,Canada,structural,distance to nearest neighbour,occurrence,amphibia,acoustic survey,"text, table",10,0,"chorus frogs, not sure where parameter estimates are, they only present the model selection"
52,YES,journalArticle,2016,"Gryseels, S.; Goüy De Bellocq, J.; Makundi, R.; Vanmechelen, K.; Broeckhove, J.; Mazoch, V.; Šumbera, R.; Zima, J.; Leirs, H.; Baird, S. J. E.",Genetic distinction between contiguous urban and rural multimammate mice in Tanzania despite gene flow,Journal of Evolutionary Biology,,"1010-061X, 1420-9101",10.1111/jeb.12919,https://onlinelibrary.wiley.com/doi/10.1111/jeb.12919,Y,Morogoro,Tanzania,genetic,na,na,rodentia,bait traps,na,4,na,"mastomys natalensis, multimammate mouse. 15 microsates, 10 locations. Can't parse out the urban only part of the analysis"
276,YES,journalArticle,2019,"Guo, Shiyi; Su, Chang; Saito, Kaoru; Cheng, Jiexin; Terada, Toru",Bird Communities in Urban Riparian Areas: Response to the Local- and Landscape-Scale Environmental Variables,Forests,,1999-4907,10.3390/f10080683,https://www.mdpi.com/1999-4907/10/8/683,Y,Beijing,China,potential,probability of connectivity index,"species richness, abundance, shannon-wiener index",aves,transect survey,"text, table, supplement",na,mixed,"RDA analysis, mixed bird community"
303,YES,journalArticle,2013,"Guzy, Jacquelyn C.; Price, Steven J.; Dorcas, Michael E.",The spatial configuration of greenspace affects semi-aquatic turtle occupancy and species richness in a suburban landscape,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2013.04.011,https://linkinghub.elsevier.com/retrieve/pii/S0169204613000807,Y,"Charlotte, NC",USA,structural,"distance to nearest neighbour, connectance","species richness, occurrence",reptilia,bait traps,"text, table, figure",na,pos,4 turtle species
40,YES,journalArticle,2015,"Hale, James D.; Fairbrass, Alison J.; Matthews, Thomas J.; Davies, Gemma; Sadler, Jon P.",The ecological impact of city lighting scenarios: exploring gap crossing thresholds for urban bats,Global Change Biology,,13541013,10.1111/gcb.12884,https://onlinelibrary.wiley.com/doi/10.1111/gcb.12884,Y,West Midlands,UK,actual,distance,movement,chiroptera,site survey,"text, figure, supplement",na,neg,"pipistrelle movement/gap crossing, used the field observations to create a resistance layer incorporating gap distance and light levels. Not sure what data is extractable though"
338,YES,journalArticle,2012,"Hale, James D.; Fairbrass, Alison J.; Matthews, Tom J.; Sadler, Jon P.",Habitat Composition and Connectivity Predicts Bat Presence and Activity at Foraging Sites in a Large UK Conurbation,PLoS ONE,,1932-6203,10.1371/journal.pone.0033300,https://dx.plos.org/10.1371/journal.pone.0033300,Y,West Midlands,UK,"structural, potential","geographic distance, area of connected tree cover >4m height",acoustic activity,chiroptera,acoustic survey,"text, table, figure",na,mixed,"multiple bat species, not measures of abundnace, just active minutes. "
196,YES,journalArticle,2012,"Hamer, Andrew J.; Smith, Phoebe J.; McDonnell, Mark J.",The importance of habitat design and aquatic connectivity in amphibian use of urban stormwater retention ponds,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-011-0212-5,http://link.springer.com/10.1007/s11252-011-0212-5,Y,Melbourne; Victoria,Australia,structural,length of rivers in 1km buffer,occurrence,amphibia,site survey,"text, table",na,mixed,connectivity only looked at water features connected on the landscape. 
237,YES,journalArticle,2019,"Han, Qiyao; Keeffe, Greg",Stepping stones: Assessing the permeability of urban greenspaces to climate-driven migration of trees,Smart and Sustainable Built Environment,,2046-6099,10.1108/SASBE-12-2018-0065,https://www.emerald.com/insight/content/doi/10.1108/SASBE-12-2018-0065/full/html,Y,Manchester,UK,potential,"probability of connectivity index, least-cost path",,plants,none,na,8,na,"focus on trees, and the ability for birds to be seed dispersers. Habitat suitability used to evaluate resistance values, but no data is used to verify the model!"
107,YES,journalArticle,2023,"Hansford, Kayleigh M; Gillingham, Emma L; Vaux, Alexander G C; Cull, Benjamin; McGinley, Liz; Catton, Matthew; Wheeler, Benedict W; Tschirren, Barbara; Medlock, Jolyon M","Impact of green space connectivity on urban tick presence, density and Borrelia infected ticks in different habitats and seasons in three cities in southern England",Ticks and Tick-borne Diseases,,1877959X,10.1016/j.ttbdis.2022.102103,https://linkinghub.elsevier.com/retrieve/pii/S1877959X22002059,Y,Bristol; Bath; Southampton,UK,structural,"proportion green space in 250m buffer, distance to nearest forest","occurrence, density",arthropod,site survey,"text, table, figure",na,mixed,"tick species, for public health focus, using a LS approach"
390,YES,journalArticle,2010,"Hedblom, Marcus; Söderström, Bo",Landscape effects on birds in urban woodlands: an analysis of 34 Swedish cities,Journal of Biogeography,,"03050270, 13652699",10.1111/j.1365-2699.2010.02299.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2010.02299.x,Y,MULTIPLE,Sweden,na,na,na,aves,na,na,5,na,"urban-to-rural gradient study, no focus on connectivity"
236,YES,journalArticle,2021,"Hefty, Kira L.; Koprowski, John L.",Multiscale effects of habitat loss and degradation on occurrence and landscape connectivity of a threatened subspecies,Conservation Science and Practice,,"2578-4854, 2578-4854",10.1111/csp2.547,https://onlinelibrary.wiley.com/doi/10.1111/csp2.547,Y,Florida,USA,potential,na,na,mammalia,na,na,3,na,"not in urban areas, only comparing conservation areas around big cypress national preserve, southern florida"
152,YES,journalArticle,2017,"Hejkal, Judit; Buttschardt, Tillmann K.; Klaus, Valentin H.",Connectivity of public urban grasslands: implications for grassland conservation and restoration in cities,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-016-0611-8,http://link.springer.com/10.1007/s11252-016-0611-8,Y,Munster,Germany,potential,"integral index of connectivity, number of links, number of components",,plants,none,na,5,na,"no biological validation of the connectivity maps, only comparison of the networks"
395,YES,journalArticle,2013,"Hepcan, ?erif","Analyzing the pattern and connectivity of urban green spaces: A case study of Izmir, Turkey",Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-012-0271-2,https://www.proquest.com/docview/1347648227/abstract/BE55828704FD4BC7PQ/1,Y,Izmir,Turkey,structural,connectance,na,na,na,na,5,na,"structural modelling of existing network for planning purposes, no biological info is incorporated"
58,YES,journalArticle,2023,"Herrmann, Johann; Buchholz, Sascha; Theodorou, Panagiotis",The degree of urbanisation reduces wild bee and butterfly diversity and alters the patterns of flower-visitation in urban dry grasslands,Scientific Reports,,2045-2322,10.1038/s41598-023-29275-8,https://www.nature.com/articles/s41598-023-29275-8,Y,Berlin,Germany,structural,"connectivity index, proportion impervious surface in buffer","species richness, shannon diversity, flower visitation rate, community composition",arthropod,transect survey,"text, table, figure",na,mixed,"11 grasslands part of CityScape lab, 3D connectivity is a modified hanski connectivity"
216,YES,journalArticle,2019,"Heylen, D.; Lasters, R.; Adriaensen, F.; Fonville, M.; Sprong, H.; Matthysen, E.",Ticks and tick-borne diseases in the city: Role of landscape connectivity and green space characteristics in a metropolitan area,Science of The Total Environment,,489697,10.1016/j.scitotenv.2019.03.235,https://linkinghub.elsevier.com/retrieve/pii/S0048969719312276,Y,Antwerp,Belgium,potential,least-cost path,density,arthropod,transect survey,"text, table, figure",na,neg,"tick species, resistance values estimated from the common host, roe deer"
84,YES,journalArticle,1988,"Hobbs, Elizabeth R.",Species richness of urban forest patches and implications for urban landscape diversity,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/BF00162740,http://link.springer.com/10.1007/BF00162740,Y,St. Paul; Minneapolis,USA,structural,"inter-patch isolation, distance to nearest patch (with 2.3 ha circle)","species richness, ",plants,survey,"text, table",na,0,
136,YES,journalArticle,2013,"Hong, Suk-Hwan; Han, Bong-Ho; Choi, Song-Hyun; Sung, Chan Yong; Lee, Kyong-Jae",Planning an ecological network using the predicted movement paths of urban birds,Landscape and Ecological Engineering,,"1860-1871, 1860-188X",10.1007/s11355-012-0194-3,http://link.springer.com/10.1007/s11355-012-0194-3,Y,Gangdong-gu,South Korea,potential,least-cost path,na,aves,transect survey,na,6,na,"planning a potential network map, using bird survey data BEFORE to apply the modified least-cost path algorithm"
345,YES,journalArticle,1999,"Honnay, O.; Endels, P.; Vereecken, H.; Hermy, M.",The role of patch area and habitat diversity in explaining native plant species richness in disturbed suburban forest patches in northern Belgium.,Diversity and Distributions,,"1366-9516, 1472-4642",10.1046/j.1472-4642.1999.00047.x,http://doi.wiley.com/10.1046/j.1472-4642.1999.00047.x,Y,Brussels,Belgium,structural,"inverse habitat amount (in buffer), area-weighted mean patch distance",species richness,plants,survey,"text, table",na,neg,"more suburban, confusing statistical analysis"
254,YES,journalArticle,2018,"Horta, Marise Barreiros; Bhakti, Tulaci; Cordeiro, Pedro Fialho; Carvalho-Ribeiro, Sónia Maria; Fernandes, Geraldo Wilson; Goulart, Fernando Figueiredo",Functional connectivity in urban landscapes promoted by Ramphastos toco (Toco Toucan) and its implications for policy making,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-018-0789-z,http://link.springer.com/10.1007/s11252-018-0789-z,Y,Belo Horizonte,Brazil,potential,"integral index of connectivity, least-cost path",,aves,none,na,8,na,"toco toucan, least cost and matrix resistance estimated from expert opinion and literature"
176,YES,journalArticle,2021,"Howes, Caroline; Reynolds, Chevonne","Absence of a Luxury Effect on bird alpha diversity in a rapidly developing African city, but surrounding landscape is key",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2021.104095,https://linkinghub.elsevier.com/retrieve/pii/S016920462100058X,Y,Johannesburg,South Africa,structural,correlation length,"species richness, shannon-wiener index",aves,site survey,"text, figure, supplement",na,pos, They describe correlation length as 'wetland connectivity'. I am not convinced. FROM FRAGSTATS:Correlation length and gives the distance that one might expect to traverse the map while staying in a particular patch from a random starting point and moving in a random direction
409,YES,journalArticle,2014,"Huang, Pujiang; Liu, Yanfang",An Integrated Method to Analyze Forest Ecological Networks for Urban Sustainable Development: A Case Study of Wuhan in Central China,Polish Journal of Environmental Studies,,"1230-1485, 2083-5906",,"http://www.pjoes.com/An-Integrated-Method-to-Analyze-Forest-r-nEcological-Networks-for-Urban-Sustainable,89294,0,2.html",Y,Wuhan,China,potential,least-cost path,na,na,na,na,5,na,"existing network analysis, no biological validation. Mostly just designing resistance layers for different scenarios"
283,YES,journalArticle,2015,"Huang, Yue; Zhao, Yazhou; Li, Shuhua; Von Gadow, Klaus","The Effects of habitat area, vegetation structure and insect richness on breeding bird populations in Beijing urban parks",Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2015.09.010,https://linkinghub.elsevier.com/retrieve/pii/S1618866715001338,Y,Beijing,China,na,none,species richness,aves,transect survey,na,5,na,"only used distance to city centre, no metric of connectivity used"
22,YES,journalArticle,2019,"Hurtado, Gizelle; Mabry, Karen E.",Genetic structure of an abundant small mammal is influenced by low intensity urbanization,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-019-01163-7,http://link.springer.com/10.1007/s10592-019-01163-7,Y,Las Cruces,USA,genetic,geographic distance,genetic differentiation,rodentia,bait traps,text,na,0,"kangaroo rat, 11 microsats"
380,YES,journalArticle,2006,"Husté, Aurélie; Selmi, Slaheddine; Boulinier, Thierry",Bird communities in suburban patches near Paris: Determinants of local richness in a highly fragmented landscape,Ecoscience,,"1195-6860, 2376-7626",10.2980/i1195-6860-13-2-249.1,https://www.tandfonline.com/doi/full/10.2980/i1195-6860-13-2-249.1,Y,Paris,France,structural,"distance to city centre, distance to nearest 100 ha forest patch",species richness,aves,survey,"text, table, figure",na,0,describe their metrics as patch isolation
79,YES,journalArticle,2021,"Hyseni, Chaz; Heino, Jani; Bini, Luis Mauricio; Bjelke, Ulf; Johansson, Frank",The importance of blue and green landscape connectivity for biodiversity in urban ponds,Basic and Applied Ecology,,14391791,10.1016/j.baae.2021.10.004,https://linkinghub.elsevier.com/retrieve/pii/S1439179121001675,Y,Stockholm,Sweden,"structural, potential, functional","geographic distance, resistance distance","species richness, evenness",invertebrates,site survey,"text, table, figure, supplement",na,mixed,"GREAT methodological description of their process, interesting analysis, also code is available on github"
281,YES,journalArticle,2013,"Ikin, Karen; Beaty, R. Matthew; Lindenmayer, David B.; Knight, Emma; Fischer, Joern; Manning, Adrian D.",Pocket parks in a compact city: how do birds respond to increasing residential density?,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-012-9811-7,http://link.springer.com/10.1007/s10980-012-9811-7,Y,Canberra,Australia,structural,distance to nearest patch >20 ha,"species richness, abundance",aves,site survey,"text, table, figure",na,0,also includes feeding guild analysis
288,YES,journalArticle,2022,"Iknayan, Kelly J.; Wheeler, Megan M.; Safran, Samuel M.; Young, Jonathan S.; Spotswood, Erica N.","What makes urban parks good for California quail? Evaluating park suitability, species persistence, and the potential for reintroduction into a large urban national park",Journal of Applied Ecology,,"0021-8901, 1365-2664",10.1111/1365-2664.14045,https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.14045,Y,MULTIPLE,USA,structural,"distance to nearest stream corridor, distance to nearest urban boundary",occurrence,aves,citizen science,"text, table, figure",na,neg,"California, eBird data. Great figures and overall presentation"
130,YES,journalArticle,2019,"Iserhard, Cristiano Agra; Duarte, Leandro; Seraphim, Noemy; Freitas, André Victor Lucci",How urbanization affects multiple dimensions of biodiversity in tropical butterfly assemblages,Biodiversity and Conservation,,"0960-3115, 1572-9710",10.1007/s10531-018-1678-8,http://link.springer.com/10.1007/s10531-018-1678-8,Y,Campinas,Brazil,na,na,na,lepidoptera,site survey,na,5,na,"connectivity taken from Brown and Freitas 2002, not sure it is even connectivity. Use PCA to group connectivity with other metrics, no specific metric used."
312,YES,journalArticle,2011,"Ives, Christopher D.; Hose, Grant C.; Nipperess, David A.; Taylor, Mark Patrick",Environmental and landscape factors influencing ant and plant diversity in suburban riparian corridors,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2011.08.009,https://linkinghub.elsevier.com/retrieve/pii/S016920461100260X,Y,Sydney,Australia,structural,degree of connectivity,"species richness, bray-curtis similarity index",formicidae,transect survey,"text, table",na,pos,"pitfall traps for ants, plants estimated along the transects, connetivity is only an ordinal estimate based on distance and veg density! NEEDS A REVIEW"
292,YES,journalArticle,2020,"Jain, Anuj; Chan, Simon Kee Mun; Vlasanek, Petr; Webb, Edward L.","Impacts of habitat on butterfly dispersal in tropical forests, parks and grassland patches embedded in an urban landscape",Biotropica,,"0006-3606, 1744-7429",10.1111/btp.12760,https://onlinelibrary.wiley.com/doi/10.1111/btp.12760,Y,Singapore,Singapore,na,na,dispersal distance,lepidoptera,mark recapture,na,5,na,"landcover and habitat associations with movement, no estimation of connectivity metric"
174,YES,journalArticle,2013,"J?drzejewska-Szmek, Krystyna; Zych, Marcin",Flower-visitor and pollen transport networks in a large city: structure and properties,Arthropod-Plant Interactions,,"1872-8855, 1872-8847",10.1007/s11829-013-9274-z,http://link.springer.com/10.1007/s11829-013-9274-z,Y,Warsaw,Poland,na,na,na,plants,na,na,5,na,"network analysis of pollen visitations, not spatially explicit and connetance is about linkages "
27,YES,journalArticle,2021,"Jezuíno, Paulla; Alquezar, Renata Duarte; Machado, Ricardo Bomfim",Parrots and the city: modeling potential corridors in an urban environment,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-021-01107-5,https://link.springer.com/10.1007/s11252-021-01107-5,Y,Brasilia,Brazil,"potential, functional",least-cost path,occurrence,aves,acoustic survey,"text, table",na,pos,"Parrot species, habitat suitability used to design resistance layer and then verified using acoustic and recording bird return time. Least cost corridors compared to data"
46,YES,journalArticle,2010,"Jim, C.Y.; Chen, Wendy Y.",Habitat effect on vegetation ecology and occurrence on urban masonry walls,Urban Forestry & Urban Greening,,16188667,10.1016/j.ufug.2010.02.004,https://linkinghub.elsevier.com/retrieve/pii/S1618866710000166,Y,Hong Kong,Hong Kong,na,na,na,plants,site survey,na,5,na,habitat connectivity is only defined by a PCA with a binary factor of hab/nonhab
243,YES,journalArticle,2018,"Johansson, Victor; Koffman, Anna; Hedblom, Marcus; Deboni, Giulio; Andersson, Petter",Estimates of accessible food resources for pollinators in urban landscapes should take landscape friction into account,Ecosphere,,21508925,10.1002/ecs2.2486,https://onlinelibrary.wiley.com/doi/10.1002/ecs2.2486,Y,Stockholm,Sweden,potential,cost-weighted permeability,"species richness, abundance",hymenoptera,pan trap,"text, table, image",na,pos,cost(friction) raster defined by expert opinion and literature. Compare different types of connectivity surrounding the sample sites (food habitat). More close to current flow than hanski connectivity. 2 scales tested
112,YES,journalArticle,2016,"Johnson, Alex M.; Karels, Tim J.",Partitioning the effects of habitat fragmentation on rodent species richness in an urban landscape,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-015-0513-1,http://link.springer.com/10.1007/s11252-015-0513-1,Y,Thousand Oaks,USA,structural,distance to nearest neighbour,species richness,rodentia,bait traps,"text, table, figure",na,0,"path model (like structural equation models), 25 habitat fragments"
